ID,Position,ForkLength,GapeSize,MouthSide,Stream,Reach,Date,Recap (Y/N)
PSF-68,450,137.9,12.6,11.3,Paradise,Lower,7/17/2023,N
PSF-69,450,NA,NA,NA,Paradise,Lower,7/17/2023,N
BSF-25,450,148.8,13.5,10.9,Bear,Lower ,6/28/2023,N
BSF-26,450,153.2,13.2,12.7,Bear,Lower ,6/28/2023,N
BSF-27,450,119.6,11.7,7.2,Bear,Lower ,6/28/2023,N
BSF-28,375,90.9,7.6,6.4,Bear,Lower ,6/28/2023,N
BSF-29,100,96.9,8.8,6.3,Bear,Lower ,6/28/2023,N
BSF-30,100,89.9,8.5,6.6,Bear,Lower ,6/28/2023,N
BSF-31,25,127,12.5,10.8,Bear,Lower ,6/28/2023,N
BSF-32,25,136.1,11.7,10.2,Bear,Lower ,6/28/2023,N
BSF-33,0,97,7,4.5,Bear,Lower ,7/4/2023,N
BSF-34,200,132,10,11,Bear,Lower ,7/4/2023,N
BSF-26,450,151,9.5,9,Bear,Lower ,7/4/2023,Y
BSF-36,500,109.7,9.3,9.1,Bear,Lower ,7/17/2023,N
BSF-37,425,NA,NA,NA,Bear,Lower ,7/17/2023,N
BSF-38,375,84.8,8,7.1,Bear,Lower ,7/17/2023,N
BSF-39,375,97.7,8.2,7.1,Bear,Lower ,7/17/2023,N
BSF-40,375,110.4,9.5,8.6,Bear,Lower ,7/17/2023,N
BSF-41,275,97.5,6.6,5.1,Bear,Lower ,7/17/2023,N
BSF-42,275,86.9,5.4,4.5,Bear,Lower ,7/17/2023,N
BSF-43,350,72.5,5.8,4.9,Bear,Lower ,7/27/2023,N
BSF-44,900,91,8,6,Bear,Upper,7/18/2023,N
BSF-45,900,98,9,7,Bear,Upper,7/18/2023,N
BSF-46,900,116,10.5,10,Bear,Upper,7/18/2023,N
ZSF-60,500,112.1,9.9,8.9,Zigzag,Lower,6/28/2023,N
ZSF-61,400,82.9,7.7,5.8,Zigzag,Lower,6/28/2023,N
ZSF-62,375,NA,NA,NA,Zigzag,Lower,6/28/2023,N
ZSF-63,325,143.6,13.6,10.4,Zigzag,Lower,6/28/2023,N
ZSF-64,325,114.9,9.3,8.6,Zigzag,Lower,6/28/2023,N
ZSF-65,150,NA,NA,NA,Zigzag,Lower,6/28/2023,N
ZSF-66,100,NA,NA,NA,Zigzag,Lower,6/28/2023,N
ZSF-67,50,NA,NA,NA,Zigzag,Lower,6/28/2023,N
ZSF-68,325,NA,NA,NA,Zigzag,Lower,7/6/2023,N
ZSF-69,325,70.2,5.5,5.2,Zigzag,Lower,7/6/2023,N
ZSF-70,75,80.8,7.8,7.2,Zigzag,Lower,7/6/2023,N
ZSF-71,25,134.2,9,9.1,Zigzag,Lower,7/6/2023,N
ZSF-72,75,144.1,11.9,13.1,Zigzag,Lower,7/18/2023,N
ZSF-73,300,139.5,14.4,13.4,Zigzag,Lower,7/18/2023,N
ZSF-74,50,128.5,10.7,10.9,Zigzag,Lower,7/27/2023,N
ZSF-75,325,95.3,7.9,6.5,Zigzag,Lower,7/27/2023,N
ZSF-76,350,78.2,7,6.2,Zigzag,Lower,7/27/2023,N
PG0-G1,50,117.7,9.4,9.5,Paradise,Lower,6/24/2024,N
PG1-G2,200,121.1,10.5,10.8,Paradise,Lower,6/24/2024,N
PG1-G3,200,122.4,11.9,14,Paradise,Lower,6/24/2024,N
PG1-G4,200,127.6,11,9.3,Paradise,Lower,6/24/2024,Y
PG1-G5,250,128.4,10.6,10.1,Paradise,Lower,6/24/2024,N
PG2-G3,250,117.2,8,7.9,Paradise,Lower,6/24/2024,N
PG2-G4,300,118.9,8.9,9.6,Paradise,Lower,6/24/2024,N
PG2-G5,300,111.2,7.1,7.3,Paradise,Lower,6/24/2024,N
PG3-G4,350,94.8,7.1,7.9,Paradise,Lower,6/24/2024,N
PG3-G5,350,110.9,9.3,8.8,Paradise,Lower,6/24/2024,N
PG4-G5,425,130.3,10.1,10.3,Paradise,Lower,6/24/2024,N
PO1-O3,150,138.7,9.7,10.1,Paradise,Lower,7/3/2024,N
PO1-O2,150,142.5,9.7,9.9,Paradise,Lower,7/3/2024,N
PO1-O4,200,134.9,8.4,8.2,Paradise,Lower,7/3/2024,N
PO1-O5,225,98.9,7.2,7.1,Paradise,Lower,7/3/2024,N
PO2-O3,475,146.2,10.4,10.5,Paradise,Lower,7/3/2024,N
PO2-O4,475,153.4,11.9,11.7,Paradise,Lower,7/3/2024,N
PO2-O5,475,153.2,10.8,10.7,Paradise,Lower,7/3/2024,N
PB1-B2,0,60.9,3.4,3.7,Paradise,Lower,7/18/2024,N
PB1-B3,150,109.5,7.4,7.5,Paradise,Lower,7/18/2024,N
PG1-G5,275,130.4,9.7,9.2,Paradise,Lower,7/18/2024,Y
PB1-B4,400,127.9,6.9,6.7,Paradise,Lower,7/18/2024,N
PG4-G5,425,141,10.2,10,Paradise,Lower,7/18/2024,Y
PB1-B5,450,124.5,7,7.5,Paradise,Lower,7/18/2024,N
PB2-B3,475,150.5,10.8,11,Paradise,Lower,7/18/2024,N
NA,100,103.1,NA,NA,Bear,Lower,6/25/2024,NA
BO1-O2,125,142.5,12.1,12.1,Bear,Lower,6/25/2024,N
BO1-O3,225,128.2,9.6,9.9,Bear,Lower,6/25/2024,N
BO1-O4,250,113.6,8,7.8,Bear,Lower,6/25/2024,N
BO1-O5,300,128.2,9.3,10,Bear,Lower,6/25/2024,N
BO2-O3,300,125.2,8.7,9,Bear,Lower,6/25/2024,N
BO2-O4,425,89.1,5,5.1,Bear,Lower,6/25/2024,N
BO2-O5,450,129.2,8.5,8.9,Bear,Lower,6/25/2024,N
BO3-O4,450,105.2,8.3,8.5,Bear,Lower,6/25/2024,N
BO3-O5,450,113.8,8,8.1,Bear,Lower,6/25/2024,N
BP1-P2,100,153.1,11.1,11.5,Bear,Lower,7/2/2024,N
BP1-P3,100,139.6,10.2,9.3,Bear,Lower,7/2/2024,Y
BP1-P4,300,127.9,8.5,8.7,Bear,Lower,7/2/2024,N
BP1-P5,125,99.4,5.5,6.2,Bear,Lower,7/18/2024,N
BP2-P3,125,114.6,6.5,6.7,Bear,Lower,7/18/2024,N
BP2-P4,175,102.3,6.6,6.8,Bear,Lower,7/18/2024,N
BP2-P5,300,145.6,8.9,9.5,Bear,Lower,7/18/2024,N
BP3-P4,325,114.5,6.8,7.1,Bear,Lower,7/18/2024,N
BP3-P5,500,114.7,6.4,6.7,Bear,Lower,7/18/2024,N
ZR1-R2,450,93.1,5.6,5.8,Zigzag,Lower,6/26/2024,N
ZR1-R3,400,81,5.8,5.7,Zigzag,Lower,6/26/2024,N
ZR1-R4,400,95.2,6.5,6.6,Zigzag,Lower,6/26/2024,N
ZR1-R5,300,85.5,5.2,5.7,Zigzag,Lower,6/26/2024,N
ZR2-R3,250,139.2,10.2,9.9,Zigzag,Lower,6/26/2024,N
ZR2-R4,250,78,5.4,5.1,Zigzag,Lower,6/26/2024,N
ZR2-R5,250,78.2,5.6,5,Zigzag,Lower,6/26/2024,N
ZR3-R4,225,83.3,5.5,5.3,Zigzag,Lower,6/26/2024,N
ZR3-O5,75,148.4,10.7,10.2,Zigzag,Lower,6/26/2024,N
ZG1-O2,0,155,12.9,12.5,Zigzag,Lower,6/26/2024,N
ZG1-O3,0,121.3,8.1,8.6,Zigzag,Lower,6/26/2024,N
ZG1-O4,0,145.6,9.8,9.5,Zigzag,Lower,6/26/2024,N
ZG1-O5,0,144,10,10.5,Zigzag,Lower,6/26/2024,N
ZG1-O1,0,111.6,7,6.8,Zigzag,Lower,6/26/2024,N
ZG2-O1,0,103.4,6,6.5,Zigzag,Lower,6/26/2024,N
ZG2-O2,0,144.9,9.7,10,Zigzag,Lower,7/2/2024,N
ZG2-O3,0,127.8,10.3,9.9,Zigzag,Lower,7/2/2024,N
ZG2-O4,0,141.9,10.1,10.7,Zigzag,Lower,7/2/2024,N
